Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,153.992,155.626,153.874,154.101,154.101,190277.80577382
2017-03-09,154.091,156.052,154.012,155.081,155.081,237034.22717276
2017-03-10,155.408,156.914,154.853,155.765,155.765,256146.11256567
2017-03-13,156.082,157.161,155.121,156.795,156.795,299465.6457044
2017-03-14,156.468,157.786,155.606,156.815,156.815,259660.74477301
2017-03-15,157.359,160.192,156.29,159.816,159.816,252199.34517168
2017-03-16,156.142,160.698,156.142,160.232,160.232,280040.76519966
2017-03-17,160.142,160.539,159.063,160.162,160.162,430227.93579484
2017-03-20,160.302,161.034,158.994,159.816,159.816,156583.37715464
2017-03-21,160.322,160.876,156.983,157.023,157.023,435181.33585493
2017-03-22,157.131,159.023,156.369,158.242,158.242,186064.48770394
2017-03-23,158.28,160.084,158.28,158.865,158.865,156386.49313269
2017-03-24,158.885,160.094,157.558,157.954,157.954,196799.21037802
2017-03-27,156.35,159.221,156.122,158.29,158.29,435885.07002573
2017-03-28,157.864,158.935,157.023,157.914,157.914,251414.8380688
2017-03-29,157.518,157.627,156.24,157.469,157.469,203488.21881628
2017-03-30,157.389,157.756,156.201,157.033,157.033,292673.65177773
2017-03-31,157.112,157.538,156.092,156.171,156.171,317992.93700135
2017-04-03,156.825,157.815,154.557,155.319,155.319,318757.25087121
2017-04-04,155.22,155.973,154.398,154.835,154.835,211107.12563519
2017-04-05,155.418,156.032,153.14,153.536,153.536,257084.08823951
2017-04-06,153.754,155.656,153.566,154.27,154.27,238958.64227968
2017-04-07,153.704,155.577,153.091,153.656,153.656,315717.15963987
2017-04-10,153.666,156.032,153.666,155.299,155.299,269492.82993103
2017-04-11,155.488,156.815,154.17,156.726,156.726,235209.7685693
2017-04-12,156.072,156.478,153.893,154.458,154.458,226742.74596351
2017-04-13,154.467,155.686,153.764,154.25,154.25,347426.59345306
2017-04-17,155.111,156.3,154.755,156.191,156.191,242222.87839756
2017-04-18,155.666,156.27,154.805,155.992,155.992,170508.63064607
2017-04-19,156.359,158.222,155.834,156.617,156.617,267322.05738126
2017-04-20,157.617,158.647,156.716,158.053,158.053,237803.58935086
2017-04-21,157.924,161.242,155.775,160.945,160.945,354409.41343178
2017-04-24,158.202,158.202,150.387,157.112,157.112,1343755.6624108
2017-04-25,157.122,158.717,155.914,157.637,157.637,636015.15419059
2017-04-26,158.32,158.568,155.091,156.32,156.32,533596.08596871
2017-04-27,155.874,157.399,155.042,157.073,157.073,355752.2634277
2017-04-28,156.993,157.864,154.279,154.388,154.388,501401.00490136
2017-05-01,155.27,157.479,153.704,155.418,155.418,341337.32403551
2017-05-02,155.824,155.824,153.764,154.448,154.448,304129.27287065
2017-05-03,153.656,155.814,153.656,155.616,155.616,249070.40371505
2017-05-04,156.379,156.775,154.873,156.686,156.686,282675.98210892
2017-05-05,156.755,157.548,155.924,156.676,156.676,267048.43907381
2017-05-08,156.508,156.765,155.399,155.894,155.894,182760.87478167
2017-05-09,156.072,157.439,155.389,155.834,155.834,321742.8203734
2017-05-10,155.765,157.112,154.893,157.033,157.033,329024.50020084
2017-05-11,156.577,156.825,154.151,156.419,156.419,220018.39936744
2017-05-12,156.34,156.34,154.815,155.141,155.141,189811.34209103
2017-05-15,155.121,157.637,155.121,156.706,156.706,334640.23830403
2017-05-16,157.449,161.451,157.34,160.568,160.568,653164.25733384
2017-05-17,158.726,160.558,158.726,159.895,159.895,511171.50069867
2017-05-18,159.331,161.886,158.132,160.262,160.262,410227.54814899
2017-05-19,161.113,164.738,160.806,163.797,163.797,439921.69730666
2017-05-22,164.936,165.065,163.669,163.985,163.985,232671.47917853
2017-05-23,164.273,165.62,163.342,163.689,163.689,287107.38709542
2017-05-24,163.917,165.253,163.361,163.867,163.867,276470.60160151
2017-05-25,164.164,165.293,163.371,164.422,164.422,368989.93733475
2017-05-26,163.777,164.352,162.242,163.431,163.431,291615.52636741
2017-05-30,162.797,164.194,162.183,163.867,163.867,283640.20898569
2017-05-31,164.56,165.837,163.511,165.333,165.333,1581992.39661
2017-06-01,165.877,166.7,164.392,165.987,165.987,361889.99660449
2017-06-02,166.868,167.621,165.907,166.976,166.976,246805.73263172
2017-06-05,166.739,168.433,166.055,167.155,167.155,244409.80553375
2017-06-06,166.928,167.541,165.461,165.897,165.897,395979.20292923
2017-06-07,165.61,168.105,165.372,166.868,166.868,371518.130109
2017-06-08,166.64,167.849,165.303,166.57,166.57,299205.15299843
2017-06-09,167.006,168.115,166.185,166.788,166.788,229026.6006182
2017-06-12,166.224,170.097,165.907,169.423,169.423,436218.25837058
2017-06-13,169.502,173.028,168.77,172.275,172.275,406133.37015394
2017-06-14,172.305,175.098,172.305,174.009,174.009,350116.33209148
2017-06-15,172.959,175.9,172.919,175.227,175.227,373678.80604226
2017-06-16,175.346,176.198,174.167,176.059,176.059,414329.80343724
2017-06-19,177.208,179.031,175.742,178.357,178.357,366346.64313227
2017-06-20,177.614,178.871,177.554,178.545,178.545,383776.43221452
2017-06-21,178.446,179.763,177.426,179.109,179.109,431819.16255691
2017-06-22,178.367,178.773,176.049,176.138,176.138,355758.32139761
2017-06-23,176.118,176.781,174.365,175.118,175.118,674282.34042742
2017-06-26,176.148,176.188,173.87,174.147,174.147,313481.76874442
2017-06-27,173.326,174.751,171.869,172.008,172.008,326010.66017242
2017-06-28,172.801,173.216,171.662,172.701,172.701,458590.34123477
2017-06-29,173.236,173.236,169.671,171.701,171.701,301733.34577268
2017-06-30,171.78,173.137,171.592,171.899,171.899,511730.85325336
2017-07-03,172.701,174.702,171.909,172.127,172.127,267072.67095344
2017-07-05,172.434,174.821,172.434,173.949,173.949,314672.15983102
2017-07-06,173.454,175.514,171.78,172.157,172.157,359448.63473223
2017-07-07,172.395,174.603,172.395,174.316,174.316,271247.62188058
2017-07-10,174.831,175.316,172.593,172.88,172.88,388333.03524575
2017-07-11,172.573,173.592,169.384,171.246,171.246,416343.06876946
2017-07-12,171.988,173.83,171.552,172.067,172.067,232856.24726067
2017-07-13,172.415,173.276,171.374,172.157,172.157,200492.55269759
2017-07-14,172.275,173.137,171.286,172.038,172.038,186462.29439447
2017-07-17,172.226,173.048,171.672,172.533,172.533,198071.38405835
2017-07-18,172.285,172.463,170.928,172.167,172.167,272776.24962028
2017-07-19,172.731,173.286,172.137,172.642,172.642,271400.08078988
2017-07-20,173.098,173.236,170.83,170.889,170.889,222284.08011242
2017-07-21,170.533,171.058,169.869,170.75,170.75,454582.99414171
2017-07-24,167.016,169.592,164.352,165.085,165.085,614165.0664
2017-07-25,166.055,166.105,160.36,160.955,160.955,969446.8274983
2017-07-26,160.945,162.084,158.508,159.063,159.063,582006.33315208
2017-07-27,159.053,161.579,158.845,161.083,161.083,484271.08532947
2017-07-28,160.955,161.321,159.063,160.064,160.064,395270.42045019
2017-07-31,160.598,161.489,159.885,160.044,160.044,299940.1866804
2017-08-01,160.786,161.113,159.261,160.133,160.133,370026.85985038
2017-08-02,160.054,161.153,159.251,160.945,160.945,412517.46077359
2017-08-03,160.955,161.609,160.172,161.381,161.381,343355.63767598
2017-08-04,162.242,162.817,160.767,161.262,161.262,308119.45571564
2017-08-07,161.271,162.45,160.529,162.312,162.312,332372.53823575
2017-08-08,162.222,163.223,161.271,161.381,161.381,238566.89355906
2017-08-09,160.836,161.46,159.954,160.529,160.529,270834.67026529
2017-08-10,159.747,161.549,156.468,156.815,156.815,312536.72543902
2017-08-11,157.211,159.459,156.528,156.657,156.657,290210.07734913
2017-08-14,157.518,158.29,157.112,157.756,157.756,190563.54002107
2017-08-15,157.756,158.518,155.736,157.181,157.181,231770.86098578
2017-08-16,157.32,157.726,156.488,156.765,156.765,255819.99185238
2017-08-17,156.22,157.716,154.379,154.557,154.557,289056.03408197
2017-08-18,153.724,155.151,153.438,153.526,153.526,264870.59889248
2017-08-21,153.458,154.527,153.101,153.864,153.864,198995.22446907
2017-08-22,154.339,155.606,153.23,155.27,155.27,198011.81402093
2017-08-23,154.715,155.379,152.269,153.061,153.061,397963.18807356
2017-08-24,152.745,153.061,149.941,150.327,150.327,366127.54655399
2017-08-25,150.902,152.309,150.119,151.496,151.496,294014.48245033
2017-08-28,152.12,152.319,151.1,151.813,151.813,244599.62192415
2017-08-29,151.189,151.556,150.327,150.952,150.952,418673.36786011
2017-08-30,151.07,152.933,150.209,152.527,152.527,476107.97088066
2017-08-31,153.002,155.389,152.823,155.151,155.151,712185.03880821
2017-09-01,155.794,156.429,155.052,155.369,155.369,356419.64977905
2017-09-05,154.765,155.736,154.359,155.518,155.518,402824.70892341
2017-09-06,156.3,156.735,150.357,152.813,152.813,739982.03372354
2017-09-07,153.398,153.398,150.813,152.764,152.764,459521.24927704
2017-09-08,152.745,159.539,152.517,158.082,158.082,682082.9863435
2017-09-11,158.935,158.935,156.369,157.815,157.815,310652.69679815
2017-09-12,158.112,161.133,157.964,160.846,160.846,350636.30784178
2017-09-13,160.628,160.628,156.389,156.765,156.765,671662.26844292
2017-09-14,156.458,157.103,155.369,156.33,156.33,316155.35279643
2017-09-15,156.24,157.726,155.458,156.815,156.815,550115.1602417
2017-09-18,157.181,158.3,156.3,156.528,156.528,401188.04738705
2017-09-19,156.696,156.845,154.2,155.25,155.25,432858.10439585
2017-09-20,155.656,159.667,155.468,159.479,159.479,473200.1453256
2017-09-21,159.449,160.905,158.726,160.688,160.688,318448.29440598
2017-09-22,160.707,162.312,160.312,161.935,161.935,427718.92659196
2017-09-25,161.083,161.827,158.707,159.638,159.638,443760.43090399
2017-09-26,159.786,163.411,159.638,162.599,162.599,495722.66777579
2017-09-27,162.768,163.985,159.559,162.272,162.272,404795.56846628
2017-09-28,162.222,165.659,161.707,165.174,165.174,490652.14696418
2017-09-29,165.065,168.958,164.728,168.027,168.027,745525.07618786
2017-10-02,167.68,170.562,167.422,168.077,168.077,556376.07213993
2017-10-03,168.294,169.472,166.808,169.106,169.106,403766.72324385
2017-10-04,169.225,170.879,168.74,170.295,170.295,281243.27222607
2017-10-05,170.839,171.959,169.404,170.433,170.433,351371.34152375
2017-10-06,170.195,173.91,169.839,173.028,173.028,450058.70028331
2017-10-09,172.81,173.662,172.593,172.85,172.85,227248.58645068
2017-10-10,173.375,173.375,170.067,170.403,170.403,393042.0971863
2017-10-11,170.83,170.83,167.65,169.274,169.274,503232.53113638
2017-10-12,169.017,170.661,167.7,170.007,170.007,487308.14757587
2017-10-13,170.691,171.493,169.522,170.127,170.127,252105.44663813
2017-10-16,169.681,170.403,169.166,170.017,170.017,221652.03191885
2017-10-17,170.117,170.602,168.235,169.176,169.176,383728.97811692
2017-10-18,169.592,171.384,169.592,170.701,170.701,220127.44282576
2017-10-19,170.325,170.325,167.284,168.433,168.433,477464.95613968
2017-10-20,169.046,170.097,167.204,169.284,169.284,859759.20505044
2017-10-23,174.355,184.478,172.553,181.595,181.595,1121843.137786
2017-10-24,183.725,189.083,182.15,184.547,184.547,844515.33344274
2017-10-25,184.002,184.31,178.723,181.417,181.417,807062.94415832
2017-10-26,181.556,184.25,181.357,183.587,183.587,362085.8709648
2017-10-27,182.992,183.883,180.615,181.507,181.507,312767.93795712
2017-10-30,179.278,181.843,178.901,179.446,179.446,244473.41421777
2017-10-31,180.268,182.012,179.268,179.436,179.436,309927.75973269
2017-11-01,180.575,180.575,177.644,178.268,178.268,294242.66598347
2017-11-02,177.654,178.703,175.584,178.228,178.228,295654.17297165
2017-11-03,178.06,180.358,176.98,178.555,178.555,350256.67506098
2017-11-06,178.168,180.318,177.96,179.585,179.585,240371.15892951
2017-11-07,179.902,179.902,179.902,179.902,179.902,209947.02439812
2017-11-08,179.902,181.922,179.407,181.397,181.397,261248.94255013
2017-11-09,179.892,180.714,176.227,177.337,177.337,245098.39477978
2017-11-10,176.653,177.96,175.87,177.228,177.228,226368.16149096
2017-11-13,176.753,178.1,175.88,177.654,177.654,251147.27773128
2017-11-14,176.911,178.901,175.91,178.713,178.713,214227.98979862
2017-11-15,178.396,180.18,177.159,179.624,179.624,338350.74487167
2017-11-16,179.852,184.556,179.852,183.061,183.061,393111.76384021
2017-11-17,182.804,183.685,181.704,182.378,182.378,304702.76068845
2017-11-20,182.606,184.518,182.15,182.883,182.883,168188.42817192
2017-11-21,184.062,185.151,182.853,184.933,184.933,214574.30374493
2017-11-22,184.993,185.369,183.685,184.141,184.141,195336.21064563
2017-11-24,184.953,186.181,183.775,184.378,184.378,90967.485775555
2017-11-27,184.21,185.815,183.577,184.29,184.29,144326.08471078
2017-11-28,184.528,189.152,184.528,188.826,188.826,348309.03773608
2017-11-29,188.202,192.669,187.865,191.342,191.342,356821.49511617
2017-11-30,191.955,197.977,191.955,196.907,196.907,465295.50425945
2017-12-01,196.66,197.63,191.718,195.66,195.66,399059.68062661
2017-12-04,197.572,200.701,196.085,196.254,196.254,511496.61175031
2017-12-05,196.105,196.987,192.926,193.956,193.956,437854.91990694
2017-12-06,193.054,194.015,192.49,192.946,192.946,238799.11573881
2017-12-07,192.708,193.461,191.678,192.035,192.035,403503.20155293
2017-12-08,193.094,194.223,191.668,194.015,194.015,337745.95754269
2017-12-11,193.728,195.392,191.45,193.877,193.877,280135.67339485
2017-12-12,193.679,195.095,192.817,194.035,194.035,236897.92284986
2017-12-13,191.282,196.343,189.618,193.778,193.778,372555.05262464
2017-12-14,193.56,193.778,191.549,191.648,191.648,316968.13042553
2017-12-15,190.628,194.966,190.628,192.153,192.153,509001.73781054
2017-12-18,193.6,194.431,191.906,194.293,194.293,225116.18104365
2017-12-19,194.401,195.818,192.847,193.382,193.382,243562.69940851
2017-12-20,194.174,196.046,192.371,194.768,194.768,146215.16165991
2017-12-21,194.867,195.521,194.373,194.749,194.749,137410.91206267
2017-12-22,194.818,195.065,192.857,193.084,193.084,253625.99708462
2017-12-26,193.402,195.322,193.114,194.897,194.897,169720.08489659
2017-12-27,195.274,196.868,194.511,195.788,195.788,158186.71985653
2017-12-28,196.323,198.423,195.174,198.265,198.265,270619.61233362
2017-12-29,198.581,198.869,195.868,195.996,195.996,273641.52965524
2018-01-02,197.175,197.63,193.768,194.937,194.937,269117.23579684
2018-01-03,195.065,198.957,195.065,198.561,198.561,214622.76750418
2018-01-04,199.344,199.344,197.393,198.561,198.561,234449.49334605
2018-01-05,199.908,201.394,198.473,200.909,200.909,180528.51287119
2018-01-08,200.612,201.701,199.948,201.533,201.533,147817.49470014
2018-01-09,201.711,202.068,198.977,199.215,199.215,284806.36819266
2018-01-10,199.552,199.562,192.233,192.906,192.906,706802.53254641
2018-01-11,193.926,196.719,192.233,196.65,196.65,390954.1168919
2018-01-12,197.412,199.374,195.828,198.284,198.284,287346.67690673
2018-01-16,199.482,200.226,196.244,197.62,197.62,263201.62818328
2018-01-17,198.393,199.641,197.373,198.681,198.681,224111.56770084
2018-01-18,199.324,201.76,198.879,201.404,201.404,211321.17390521
2018-01-19,202.147,204.028,201.404,203.732,203.732,221324.90154392
2018-01-22,203.355,203.355,200.275,202.929,202.929,144683.50493525
2018-01-23,203.107,203.295,200.394,202.751,202.751,211567.53134807
2018-01-24,203.167,205.683,202.394,204.464,204.464,294043.76263821
2018-01-25,205.227,207.347,202.86,206.604,206.604,283644.2476323
2018-01-26,207.119,209.931,205.049,208.05,208.05,174410.97292741
2018-01-29,207.149,209.387,207.089,207.941,207.941,438661.63956615
2018-01-30,206.277,208.376,203.405,207.208,207.208,319598.29902654
2018-01-31,207.535,208.872,204.405,205.079,205.079,286539.95724753
2018-02-01,204.524,205.732,200.969,201.563,201.563,276318.1426922
2018-02-02,200.275,201.84,197.6,197.6,197.6,257998.84169537
2018-02-05,195.462,200.8,184.458,184.458,184.458,569544.07939305
2018-02-06,184.547,189.975,180.288,186.191,186.191,747270.78118255
2018-02-07,186.399,190.926,186.399,189.152,189.152,371505.00450753
2018-02-08,188.944,190.994,181.309,181.675,181.675,364765.51298671
2018-02-09,183.299,187.905,178.971,186.409,186.409,613758.17275462
2018-02-12,188.528,192.986,187.835,189.945,189.945,492219.14184662
2018-02-13,188.528,190.281,187.053,188.261,188.261,284125.85623985
2018-02-14,186.844,192.441,186.656,191.727,191.727,290096.99524422
2018-02-15,194.343,195.947,192.223,195.026,195.026,307082.5332
2018-02-16,194.689,199.413,191.47,193.639,193.639,421698.31416668
2018-02-20,191.173,195.808,191.173,191.173,191.173,290961.26561753
2018-02-21,191.935,194.798,190.47,190.698,190.698,300628.77592642
